"dv_any_lifetime","age_group","marital_status","education_level","earns_income","employment_status","disability_status","spouse_income_relation","locality_type","feels_unsafe_home","conflict_frequency","food_insecurity_score","feels_unsafe_day","feels_unsafe_night","combined_safety_index","dv_common_perception","vaw_problem_perception","mobility_frequency","dv_physical","dv_verbal","dv_economic","dv_other","dv_sexual","will_seek_help_dv","help_source_dv","will_seek_help_harass","help_source_harass","unsafe_reason_1","unsafe_reason_2","unsafe_reason_3","unsafe_reason_4","unsafe_reason_5","unsafe_reason_6","unsafe_reason_7","unsafe_reason_8","unsafe_reason_9","unsafe_reason_10","unsafe_reason_11","food_insec","max_dv_count","Food_Insecurity_Index","DV_common_perception_score","DV_Common_Perception_norm","VAW_Perception_Score","VAW_Perception_norm","DV_Exposure","DV_Type_Count","Unsafe_Score","WellBeing_Score","help_type_dv","mobility_num"
0,"50 – 59 years","Living with Partner","Completed primary",1,"Fulltime caretaker",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","A little bit","Once a week",0,0,0,0,0,0,NA,1,"Talk with friends for support or guidance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,0,0,1,0.333333333333333,0,0,0.333333333333333,0.597222222222222,"Other/NA",2
1,"18 – 29 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","2-3 times per week",0,1,0,0,0,1,"Seek support from family",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.333333333333333,2,0.666666666666667,1,2,0.416666666666667,0.583333333333333,"Informal",3
0,"40 – 49 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","2-3 times per week",0,0,0,0,0,1,"Approach community leaders for support",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.333333333333333,2,0.666666666666667,0,0,0.416666666666667,0.694444444444444,"Informal",3
1,"18 – 29 years","Single","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","2-3 times per week",0,1,0,0,1,1,"Call/go to police",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,2,0.666666666666667,1,3,0.416666666666667,0.486111111111111,"Formal",3
0,"40 – 49 years","Separated / Divorced","Completed secondary",NA,"Employed",0,NA,"Rural",0,"Never","No coping mechanisms",0,0.333333333333333,"Feels safe","Uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.166666666666667,0.944444444444444,"Informal",3
1,"30 – 39 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","2-3 times per week",0,1,0,0,0,1,"Seek support from family",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,2,0.666666666666667,1,2,0.416666666666667,0.541666666666667,"Informal",3
0,"18 – 29 years","Single","Technical / vocational",0,"Student",0,NA,"Urban",0,"Never","No coping mechanisms",0,0.333333333333333,"Feels safe","Uncommon","Not at all","Once a week",0,0,0,0,0,1,"Seek help from shelter or safehouse for women",1,"Seek help from shelter or safehouse for women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.166666666666667,0.944444444444444,"Formal",2
0,"30 – 39 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","Not at all","Daily",0,0,0,0,0,1,"Seek support from family",1,"Call helpline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.166666666666667,0.944444444444444,"Informal",4
0,"50 – 59 years","Single","College",1,"Unemployed",0,NA,"Urban",0,"Never","No coping mechanisms",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Once a week",0,0,0,0,0,1,"Talk with friends for support or guidance",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,0,0,0.666666666666667,0.777777777777778,"Informal",2
1,"30 – 39 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","2-3 times per week",0,1,0,0,0,1,"Approach community leaders for support",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,2,0.666666666666667,1,2,0.416666666666667,0.541666666666667,"Informal",3
0,"30 – 39 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Rural",0,"Never","No coping mechanisms",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Once a week",0,0,0,0,0,1,"Call/go to police",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.166666666666667,0.944444444444444,"Formal",2
1,"18 – 29 years","Single","Technical / vocational",NA,"Employed",0,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","2-3 times per week",1,1,0,0,0,1,"Approach community leaders for support",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.333333333333333,2,0.666666666666667,1,3,0.416666666666667,0.527777777777778,"Informal",3
0,"40 – 49 years","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Urban",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Daily",0,0,0,0,0,1,"Seek help from shelter or safehouse for women",1,"Seek help from shelter or safehouse for women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,0,0,0,0,0,0,0.25,0.75,"Formal",4
0,"18 – 29 years","Single","Technical / vocational",NA,"Employed",0,NA,"Rural",0,"Never","No coping mechanisms",0,0.333333333333333,"Feels safe","Very uncommon","Not at all","Once a week",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.0833333333333333,0.972222222222222,"Informal",2
0,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Never","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","Not at all","Daily",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.166666666666667,0.85,"Other/NA",4
1,"30 – 39 years","Single","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,1,0,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,1,0.333333333333333,1,0.333333333333333,1,3,0.333333333333333,0.425,"Informal",4
1,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,0,0,1,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,1,0.333333333333333,1,2,0.333333333333333,0.5125,"Informal",4
0,"50 – 59 years","Widowed","College",NA,"Employed",0,NA,"Rural",1,"Never","No coping mechanisms",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0.333333333333333,0,0,0,0,0.0909090909090909,0.96969696969697,"Informal",3
1,"30 – 39 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","2-3 times per week",1,1,0,0,0,1,"Seek support from family",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.333333333333333,2,0.666666666666667,1,3,0.416666666666667,0.569444444444444,"Informal",3
1,"30 – 39 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,0,1,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,1,0.333333333333333,1,2,0.333333333333333,0.5125,"Informal",4
0,"18 – 29 years","Single","College",NA,"Employed",0,NA,"Rural",0,"Never","No coping mechanisms",0,0.333333333333333,"Feels safe","Uncommon","Not at all","Daily",0,0,0,0,0,1,"Call/go to police",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.166666666666667,0.944444444444444,"Formal",4
1,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,0,1,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,1,0.333333333333333,1,2,0.333333333333333,0.5125,"Informal",4
1,"18 – 29 years","Single","Completed secondary",0,"Student",0,NA,"Rural",1,"Once or twice","No coping mechanisms",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Uncommon","A little bit","Once or twice a month",0,0,0,1,1,1,"Access to women’s centres",1,"Call/go to police",0,0,0,0,0,0,0,0,0,NA,0,0,6,0,1,0.333333333333333,1,0.333333333333333,1,3,0.181818181818182,0.772727272727273,"Other/NA",1
1,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,0,1,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,1,0.333333333333333,1,2,0.333333333333333,0.5125,"Informal",4
0,"40 – 49 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Rural",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Not at all","Once a week",0,0,0,0,0,1,"Call helpline",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.333333333333333,0,0,0,0,0.333333333333333,0.805555555555556,"Formal",2
0,"18 – 29 years","Single","College",NA,"Employed",0,NA,"Urban",0,"Never","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","Not at all","Daily",0,0,0,0,0,1,"Seek support from family",1,"Talk with friends for support or guidance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.166666666666667,0.944444444444444,"Informal",4
1,"50 – 59 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Somewhat","Daily",0,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.333333333333333,2,0.666666666666667,1,2,0.5,0.638888888888889,"Other/NA",4
1,"30 – 39 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,0,1,1,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,1,0.333333333333333,1,3,0.333333333333333,0.4625,"Informal",4
0,"30 – 39 years","Separated / Divorced","Technical / vocational",NA,"Employed",0,NA,"Rural",0,"Never","No coping mechanisms",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.333333333333333,0.888888888888889,"Informal",3
0,"30 – 39 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Not at all","Daily",0,0,0,0,0,1,"Seek support from family",1,"Talk with friends for support or guidance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.25,0.825,"Informal",4
0,"30 – 39 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Weekly","Some coping mechanisms (1-4)",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Uncommon","A little bit","Daily",0,0,0,0,0,0,NA,1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.333333333333333,1,0.333333333333333,0,0,0.5,0.675,"Other/NA",4
0,"18 – 29 years","Single","College",NA,"Employed",1,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Access to women’s centres",1,"Call helpline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.166666666666667,0.85,"Other/NA",3
0,"30 – 39 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","2-3 times per week",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,2,0.666666666666667,0,0,0.416666666666667,0.861111111111111,"Other/NA",3
0,"50 – 59 years","Living with Partner","Completed secondary",1,"Fulltime caretaker",0,NA,"Urban",0,"Never","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Not at all","Once or twice a month",0,0,0,0,0,1,"Call helpline",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.25,0.916666666666667,"Formal",1
0,"30 – 39 years","Living with Partner","College",1,"Fulltime caretaker",1,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","Not at all","Daily",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,0,0,0,0,0.416666666666667,0.775,"Other/NA",4
1,"40 – 49 years","Single","College",NA,"Employed",0,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Not at all","2-3 times per week",0,1,0,1,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,0,0,1,4,0.25,0.486111111111111,"Informal",3
0,"40 – 49 years","Single","Completed primary",0,"Unemployed",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Don't know","A lot","2-3 times per week",0,0,0,0,0,1,"Other, specify",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,NA,NA,3,1,0,0,0.777777777777778,0.407407407407407,"Other/NA",3
1,"18 – 29 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","Once a week",1,1,0,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,2,0.666666666666667,1,4,0.416666666666667,0.430555555555556,"Informal",2
0,"18 – 29 years","Single","Technical / vocational",NA,"Employed",0,NA,"Urban",0,"Never","No coping mechanisms",0,0,"Feels safe","Very uncommon","Not at all","Daily",0,0,0,0,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1,"Informal",4
1,"40 – 49 years","Living with Partner","Completed secondary",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,1,1,1,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,1,0.333333333333333,1,0.333333333333333,1,5,0.333333333333333,0.2875,"Informal",4
0,"18 – 29 years","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,NA,"DK/Refusal","Common","Somewhat","Daily",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,2,0.666666666666667,0,0,0.555555555555556,0.773148148148148,"Other/NA",4
1,"30 – 39 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","Daily",1,1,0,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,2,0.666666666666667,1,4,0.416666666666667,0.430555555555556,"Informal",4
1,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,0,0,1,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,1,0.333333333333333,1,2,0.333333333333333,0.5125,"Informal",4
0,"40 – 49 years","Living with Partner","Completed primary",NA,"Employed",0,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",0,0,0,0,0,1,"Approach community leaders for support",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,3,1,3,1,0,0,0.916666666666667,0.486111111111111,"Informal",3
1,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,1,1,1,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,1,0.333333333333333,1,0.333333333333333,1,5,0.333333333333333,0.325,"Informal",4
1,"50 – 59 years","Living with Partner","Completed secondary",NA,"Employed",1,NA,"Rural",0,"Monthly","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","A lot","2-3 times per week",0,1,0,0,0,1,"Talk with friends for support or guidance",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,3,1,1,2,0.833333333333333,0.5125,"Informal",3
1,"30 – 39 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","Daily",1,1,0,0,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,2,0.666666666666667,1,3,0.416666666666667,0.486111111111111,"Informal",4
0,"30 – 39 years","Living with Partner","College",1,"Fulltime caretaker",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","A lot","Once a week",0,0,0,0,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,3,1,0,0,0.416666666666667,0.861111111111111,"Informal",2
0,"30 – 39 years","Single","College",NA,"Employed",0,NA,"Rural",1,"Never","No coping mechanisms",0,0.333333333333333,"Feels safe","Uncommon","Not at all","Once or twice a month",0,0,0,0,0,1,"Seek support from family",1,"Seek support from family",0,0,0,0,0,0,0,0,0,NA,0,0,6,0,1,0.333333333333333,0,0,0,0,0.0606060606060606,0.97979797979798,"Informal",1
1,"18 – 29 years","Single","College",NA,"Employed",1,NA,"Rural",0,"Monthly","No coping mechanisms",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Daily",0,0,0,0,1,1,"Seek support from family",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,1,2,0.333333333333333,0.7,"Informal",4
0,"40 – 49 years","Living with Partner","Technical / vocational",0,"Unemployed",0,NA,"Rural",0,"Once or twice","Several coping mechanisms (5-8)",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Don't know","A lot","2-3 times per week",0,0,0,0,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,NA,NA,3,1,0,0,0.777777777777778,0.532407407407407,"Informal",3
1,"40 – 49 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Urban",1,"Monthly","Some coping mechanisms (1-4)",0.666666666666667,0.333333333333333,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","2-3 times per week",0,0,1,0,1,1,"Seek support from a religious leader",1,"Seek support from a religious leader",0,1,0,0,0,0,1,0,0,0,0,4,6,0.5,2,0.666666666666667,1,0.333333333333333,1,3,0.272727272727273,0.575757575757576,"Informal",3
0,"40 – 49 years","Single","College",NA,"Employed",0,NA,"Urban",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","A little bit","Daily",0,0,0,0,0,1,"Approach community leaders for support",1,"Seek help from shelter or safehouse for women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,0,0,1,0.333333333333333,0,0,0.25,0.875,"Informal",4
0,"30 – 39 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Never","No coping mechanisms",0,0,"Feels safe","Very uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Seek support from family",1,"Talk with friends for support or guidance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1,"Informal",3
1,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",0,1,1,1,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,1,0.333333333333333,1,5,0.333333333333333,0.3625,"Informal",4
0,"40 – 49 years","Living with Partner","Technical / vocational",NA,"Employed",1,NA,"Rural",0,"Monthly","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Somewhat","2-3 times per week",0,0,0,0,0,1,"Talk with friends for support or guidance",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,1,0.333333333333333,2,0.666666666666667,0,0,0.416666666666667,0.475,"Informal",3
1,"40 – 49 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Rural",0,"Weekly","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","Somewhat","2-3 times per week",0,0,0,1,0,1,"Call/go to police",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,3,1,2,0.666666666666667,1,2,0.833333333333333,0.527777777777778,"Formal",3
1,"40 – 49 years","Separated / Divorced","Completed secondary",NA,"Employed",0,NA,"Urban",1,"Monthly","Some coping mechanisms (1-4)",1,0.333333333333333,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","Once a week",0,0,1,0,1,1,"Seek support from a religious leader",1,"Seek help from shelter or safehouse for women",1,0,0,1,0,0,1,0,0,NA,0,4,6,0.5,2,0.666666666666667,1,0.333333333333333,1,3,0.393939393939394,0.535353535353535,"Informal",2
0,"60 years and older","Widowed","Completed secondary",0,"Fulltime caretaker",0,NA,"Urban",0,"Never","No coping mechanisms",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Not at all","Once or twice a month",0,0,0,0,0,1,"Seek help from shelter or safehouse for women",1,"Seek help from shelter or safehouse for women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,0,0,0,0,0.25,0.916666666666667,"Formal",1
0,"50 – 59 years","Living with Partner","College",NA,"Employed",0,NA,"Rural",0,"Never","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Don't know","A little bit","Once a week",0,0,0,0,0,1,"Seek support from family",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,NA,NA,1,0.333333333333333,0,0,0.444444444444444,0.810185185185185,"Informal",2
0,"40 – 49 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","Not at all","Daily",0,0,0,0,0,1,"Call/go to police",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.166666666666667,0.944444444444444,"Formal",4
0,"60 years and older","Single","Completed primary",1,"Fulltime caretaker",0,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Don't know","A lot","Once a week",0,0,0,0,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,NA,NA,3,1,0,0,0.777777777777778,0.407407407407407,"Informal",2
0,"18 – 29 years","Single","College",NA,"Employed",1,NA,"Urban",0,"Never","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","Not at all","2-3 times per week",0,0,0,0,0,1,"Seek support from family",1,"Call helpline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0.166666666666667,0.85,"Informal",3
